Player,Archetype,Round 1,        ,Round 2,,Round 3,,Round 4,,Round 5,,Round 6,,Round 7,,Round 8,,Round 9 ,,Round 10 ,,Round 11,,Round 12,,Round 13,,Round 14,,Round 15,,,,Final Standing
MTGHolic,White Stompy,Iwouldliketorespond,2-1,bernardocssa,2-1,Tjbrown329,1-2,Harryhaz1,2-0,JPinter,2-1,mephidro,1-2,Bangiras,1-2,tao_bye_bye,2-1,WingedHussar,2-0,googly,1-2,,,,,,,,,,,,,69
kiyoaggro,UR Delver,CracklingDoom,2-0,necrodice,0-2,nekonekoneko,2-1,KenV21,2-0,Promidnightz,2-1,CookieKid00,1-2,buildorburn,2-0,Kosame,2-1,McWinSauce,1-2,Supercazzola,1-2,,,,,,,,,,,,,70
hundinggjornersen,Cephalid Breakfast,scipios,2-0,stu909090,2-1,Eldhrimr,2-1,utley26,0-2,Maximum_Zen,2-0,LSC1998,0-2,squppy,2-0,almightyshank,1-2,googly,0-2,trevoryParis,2-1,,,,,,,,,,,,,71
Bangiras,TES,IPlayBadDecks,2-0,Bullwinkkle6705,0-2,yekcat,2-0,alex2,0-2,M0nsterYe,2-1,Supercazzola,2-0,MTGHolic,2-1,yoshiwata,2-0,FirstToThirst,1-2,Kinarus,0-2,,,,,,,,,,,,,72
MarioBBrega,UR Delver,LoggySD,2-1,hogpog_98,2-1,kado222,0-2,hatahato,2-0,JoergHeinrich,0-2,el-pollo-lolo,2-0,Martinho1111,2-1,McWinSauce,1-2,Maximum_Zen,2-0,CoolUser,1-2,,,,,,,,,,,,,73
larkblue,UR Delver,Beest,2-0,joker10289,1-2,tpc2000,2-1,JeanCarloBeloch,2-0,416FrowningTable,1-2,DragonDayDragon,2-0,P4UM,2-1,Dmags0917,2-0,RonColpoCinese,1-2,kashf,1-2,,,,,,,,,,,,,74
_Batutinha_,UR Delver,nathansteuer,0-2,djizma,1-2,filthy_casuals,2-1,maver1k,2-1,FlexToast,2-1,Cyberpunker,2-1,ganesh_69,2-0,ziggy_stardust,0-2,Alakazimdk,0-2,Maximum_Zen,2-0,,,,,,,,,,,,,75
Gerschi,UR Delver,zerhacker,1-2,Ravenouspanda21,2-1,DrPP,2-0,dull04,2-1,3putt,2-0,bernardocssa,0-2,piao,2-1,abombdiggity,2-0,XxShuicunexX,0-2,ReformedPaolo,0-2,,,,,,,,,,,,,76
yPrincipe,White Stompy,iKhada,2-1,Smradd,1-2,HealthyFrog,2-0,spiralprince,2-1,sfz,1-2,nditiz1,2-1,gatekappa,1-2,Udon1590,2-0,Kosame,2-0,Eldhrimr,1-2,,,,,,,,,,,,,77
Azpergillus666,Sneak and Show,Darkmattergun,1-2,CoolestRaven,2-0,Jydehem,2-0,Kuangge,2-0,T2G_Brand,2-0,Wrath_TheKid,0-2,ktmr-39,2-0,LSC1998,1-2,Supercazzola,0-2,MeTheKaptain,2-1,,,,,,,,,,,,,78
