Player,Archetype,Round 1,        ,Round 2,,Round 3,,Round 4,,Round 5,,Round 6,,Round 7,,Round 8,,Round 9 ,,Round 10 ,,Round 11,,Round 12,,Round 13,,Round 14,,Round 15,,,,Final Standing
JeanCarloBeloch,Blue Karn/Artifacts,thestudygroup,1-2,tkcheungab,2-1,kdowns,2-1,larkblue,0-2,ARAPAKO,1-2,,,,,,,,,,,,,,,,,,,,,,,233
hatahato,UR Delver,Diem4x,1-2,kanican,2-1,-Nicolo-,2-0,MarioBBrega,0-2,Alakazimdk,0-2,,,,,,,,,,,,,,,,,,,,,,,234
Beenew,UR Delver,Mogged,2-1,Littlewitch,2-1,wizardpasta,0-2,GotTheWongGuy,0-2,MAT_1205,1-2,,,,,,,,,,,,,,,,,,,,,,,235
LegacyBrewPub,Reanimator,Violent_Outburst,1-2,filthy_casuals,2-0,Dmags0917,1-2,Happy12,2-1,homhom86,1-2,,,,,,,,,,,,,,,,,,,,,,,236
duster6060,4C Control,Rimril,0-2,Didisoso91,0-2,Raikonette,2-1,-Nicolo-,2-0,Misterkle,0-2,,,,,,,,,,,,,,,,,,,,,,,237
Jiobimbo,Esper Control,beware_the_water,0-2,HongZhang,0-2,Alakazimdk,0-2,scipios,2-0,Treeroy6670,2-0,Raikonette,1-2,-Nicolo-,2-0,,,,,,,,,,,,,,,,,,,238
Firetruck,Painter,Talisker,2-1,yoshiwata,0-2,ktmr-39,0-2,Koike,2-1,sora1248,0-2,,,,,,,,,,,,,,,,,,,,,,,239
M0nsterYe,Goblins,musasabi,1-2,_Gerwaz,2-1,aarong,1-2,Carroz,2-0,Bangiras,1-2,,,,,,,,,,,,,,,,,,,,,,,240
hogpog_98,White Stompy,Serjero,2-1,MarioBBrega,1-2,strike105303,2-0,Smradd,1-2,,,,,,,,,,,,,,,,,,,,,,,,,241
tom533,Goblins,WingedHussar,0-2,Jack9Em,2-0,ElfKid,1-2,DavidVanDerRaven,2-1,aforaffort,0-2,Fuz65,1-2,,,,,,,,,,,,,,,,,,,,,242
Deathnote1999,UR Delver,Danielpena397,2-0,aforaffort,2-1,Udon1590,0-2,yoshiwata,0-2,,,,,,,,,,,,,,,,,,,,,,,,,243
Renanpf,Omni-Tell,DRN123,2-0,Galrion89,0-2,tao_bye_bye,1-2,TheBrogan,2-0,hktknbr,1-2,Happy12,1-2,,,,,,,,,,,,,,,,,,,,,244
2radMTG,Elves,Testacular,1-2,hamati,2-0,Jmackattack,2-1,Melkhart,1-2,,,,,,,,,,,,,,,,,,,,,,,,,245
excel0679,UR Delver,azatoyellow,1-2,sneakymisato,2-0,Didisoso91,2-1,Roquefort,1-2,,,,,,,,,,,,,,,,,,,,,,,,,246
Danielpena397,Elves,Deathnote1999,0-2,toondoslav,1-2,paragon249,2-0,gomashio,1-2,-Nicolo-,2-1,,,,,,,,,,,,,,,,,,,,,,,247
UNAUNA,ANT,the-bad-kami,2-0,morpheus38,2-0,satu2112,1-2,B-Carp,0-2,,,,,,,,,,,,,,,,,,,,,,,,,248
aarong,Lands,CrusherBotBG,2-0,MeninoNey,1-2,M0nsterYe,2-1,GreatApe,0-2,Martin_Dominguez,0-2,El Lobo,1-2,,,,,,,,,,,,,,,,,,,,,249
SIN,Aluren,Zetton371,2-0,d13titus,2-0,MartinMedMitten,1-2,3putt,1-2,,,,,,,,,,,,,,,,,,,,,,,,,250
j27c58794,Dredge,Dmags0917,0-2,slod,2-1,Minest110,2-0,Wiltron92,0-2,Foheo,1-2,,,,,,,,,,,,,,,,,,,,,,,251
Aerien_sol,8Cast,baiburqueno,0-2,iKhada,2-1,jamiewvh,1-2,FireMedic06,2-0,DragonDayDragon,1-2,,,,,,,,,,,,,,,,,,,,,,,252
Yamaro,4C Control,snoopy-magic,0-2,slow_brz,2-0,Misterkle,2-0,albertoSD,1-2,sumimasen,1-2,,,,,,,,,,,,,,,,,,,,,,,253
SAWATARIX,Doomsday,EricaWesley,2-0,Phizzle,0-2,albertoSD,0-2,Monsyama,2-0,Qwupuf,1-2,,,,,,,,,,,,,,,,,,,,,,,254
LuisMJ,UR Delver,Martinho1111,1-2,twin_mtg,2-0,taruto1212,2-1,Promidnightz,1-2,,,,,,,,,,,,,,,,,,,,,,,,,255
kaeru24,Infect,aforaffort,0-2,Beest,2-1,Violent_Outburst,2-1,gatekappa,0-2,,,,,,,,,,,,,,,,,,,,,,,,,256
Luffytaro,UR Delver,THEsneakyhomunculous,2-0,El Lobo,2-1,duanceyao,0-2,TrincoTeq,1-2,,,,,,,,,,,,,,,,,,,,,,,,,257
LasVegasChaos,Other Stompy,winedope,2-0,lain5893,2-1,Darkmattergun,1-2,ColletClow,0-2,WeareVenom,1-2,,,,,,,,,,,,,,,,,,,,,,,258
FlexToast,Painter,BuenosLoko,0-2,Krisuu889,2-0,KenV21,1-2,comeback,2-1,_Batutinha_,1-2,,,,,,,,,,,,,,,,,,,,,,,259
Oxdizzle,Infect,denounce,0-2,aadrew,2-0,Littlewitch,2-1,HinaHara,0-2,snoopy-magic,0-2,,,,,,,,,,,,,,,,,,,,,,,260
EricaWesley,Reanimator,SAWATARIX,0-2,Michelino,1-2,mtgvins,2-0,MAT_1205,1-2,Bozo_0388,2-1,manadra1n,1-2,filthy_casuals,1-2,,,,,,,,,,,,,,,,,,,261
Langlois,Death and Taxes,duke12,1-2,DNSolver,0-2,sumimasen,1-2,Scranton01,2-0,SacmenFeg,1-2,Treeroy6670,2-0,Koike,1-2,,,,,,,,,,,,,,,,,,,262
Krisuu889,Goblins,ganesh_69,0-2,FlexToast,0-2,CoolestRaven,0-2,gurig,2-1,Raikonette,0-2,paragon249,2-0,HealthyFrog,1-2,ferrarix,1-2,,,,,,,,,,,,,,,,,263
matyo804,Other Stompy,HinaHara,2-1,medvedev,1-2,mephidro,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,264
Koala40,UR Delver,ElfKid,2-0,JUJUBEAN__2004,0-2,Baku_91,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,265
Hakumei1234,White Stompy,NimblestMongoose,2-0,xJCloud,0-2,DanDeluxe13,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,266
Monsyama,White Stompy,djizma,2-1,AlphaBlade,1-2,NimblestMongoose,1-2,SAWATARIX,0-2,,,,,,,,,,,,,,,,,,,,,,,,,267
Violent_Outburst,Reanimator,LegacyBrewPub,2-1,bennybo,1-2,kaeru24,1-2,Didisoso91,0-2,,,,,,,,,,,,,,,,,,,,,,,,,268
rohuty,Infect,Raikonette,2-1,Ozymandias17,0-2,Wrath_TheKid,0-2,zerhacker,0-2,,,,,,,,,,,,,,,,,,,,,,,,,269
Swiftclaw_,Stoneblade,twin_mtg,2-1,seblba,1-2,McWinSauce,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,270
hunden,White Stompy,Modern_Monkey,2-1,XxShuicunexX,1-2,Roquefort,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,271
stu909090,UR Delver,Lord_Beerus,2-0,hundinggjornersen,1-2,sora1248,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,272
azatoyellow,UR Delver,excel0679,2-1,Cyberpunker,1-2,djizma,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,273
yashimoro,UR Delver,norumi,2-0,Bryzem1,1-2,FirstToThirst,1-2,DragonDayDragon,0-2,,,,,,,,,,,,,,,,,,,,,,,,,274
AkahitoXion,Hogaak,Tsubasa_Cat,0-2,Wings_Style_Spartan,0-2,scipios,2-0,Alakazimdk,1-2,,,,,,,,,,,,,,,,,,,,,,,,,275
CoolestRaven,Cephalid Breakfast,Roquefort,1-2,Azpergillus666,0-2,Krisuu889,2-0,CoolUser,0-2,,,,,,,,,,,,,,,,,,,,,,,,,276
darokaba,UR Delver,Beekeeper,0-2,TrincoTeq,0-2,tkcheungab,2-0,JohnnyBravo53,0-2,,,,,,,,,,,,,,,,,,,,,,,,,277
bellboysquints,Ruby Storm,Rank1Lynx,2-0,reisyasu,1-2,Kinarus,1-2,hide1984,1-2,,,,,,,,,,,,,,,,,,,,,,,,,278
LoggySD,Maverick,MarioBBrega,1-2,Iwouldliketorespond,2-0,ReformedPaolo,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,279
ls149950,Elves,Utsunomiya,0-2,the-bad-kami,2-0,nditiz1,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,280
Jpsn54,UR Delver,3putt,2-0,WingedHussar,1-2,bernardocssa,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,281
maver1k,UR Delver,kado222,0-2,homhom86,0-2,iKhada,2-1,_Batutinha_,1-2,,,,,,,,,,,,,,,,,,,,,,,,,282
TrueHero,Death's Shadow,MartinMedMitten,1-2,Carroz,2-1,Melkhart,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,283
Flugel310,UR Delver,alli,2-0,ik1cksquirrels,1-2,LSC1998,1-2,wara,1-2,,,,,,,,,,,,,,,,,,,,,,,,,284
kdowns,UR Delver,TristanJWL,1-2,almightyshank,2-1,JeanCarloBeloch,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,285
TERANO,UR Delver,Didisoso91,2-0,Tjbrown329,1-2,DemonicTutors,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,286
nekonekoneko,UR Delver,KenV21,0-2,Xen0neb,2-1,kiyoaggro,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,287
HongZhang,4C Control,akguy152,0-2,Jiobimbo,2-0,yusuke0923,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,288
FireMedic06,Reanimator,Jasmine1742,1-2,scipios,2-0,googly,0-2,Aerien_sol,0-2,,,,,,,,,,,,,,,,,,,,,,,,,289
Jydehem,Lands,squppy,1-2,Bozo_0388,2-0,Azpergillus666,0-2,Serjero,1-2,Fuz65,1-2,,,,,,,,,,,,,,,,,,,,,,,290
keisesu,Bant Control,endFunU,1-2,suyasome,2-0,El Lobo,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,291
zhinonono,GW Depths,trasmussen2710,2-1,kasa,1-2,marceliiine,1-2,Bobovic,1-2,,,,,,,,,,,,,,,,,,,,,,,,,292
yekcat,Lands,Liberolabie18,2-0,nathansteuer,1-2,Bangiras,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,293
Zitical,Death and Taxes,P4UM,0-2,Maraxus_of_NL,2-0,hktknbr,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,294
Butakov,Elves,udonudon,2-1,Tsubasa_Cat,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
comeback,Elves,gulldos,2-0,MentalMisstep,1-2,piao,0-2,FlexToast,1-2,,,,,,,,,,,,,,,,,,,,,,,,,296
Manuel_Danninger,4C Control,taka1208,2-0,Supercazzola,1-2,B-Carp,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,297
jaarseth,8Cast,RyNG-SToRm,2-1,TristanJWL,1-2,Slasher21,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,298
StormQrow,UR Delver,Baku_91,0-2,NovaNiller,2-0,MahfuzVanGogh,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,299
denounce,Other Graveyard,Oxdizzle,2-0,duke12,0-2,416FrowningTable,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,300
taruto1212,UR Delver,medvedev,1-2,TheGrimLavamancer,2-0,LuisMJ,1-2,HealthyFrog,0-2,,,,,,,,,,,,,,,,,,,,,,,,,301
KingofPwners,GW Depths,KBTMTG,2-0,Oceansoul92,1-2,Erik_SZ,0-2,Jmackattack,1-2,,,,,,,,,,,,,,,,,,,,,,,,,302
baiburqueno,White Stompy,Aerien_sol,2-0,kado222,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303
derflotteschotte87,Death and Taxes,Radziolot,1-2,GriefBacon,2-0,HinaHara,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,304
DavidVanDerRaven,Omni-Tell,Cartesian,1-2,wakarock,1-2,Scranton01,2-0,tom533,1-2,,,,,,,,,,,,,,,,,,,,,,,,,305
Whispering,UR Delver,PA_Rude,1-2,bless_von,0-2,winedope,2-0,swayjisse,1-2,,,,,,,,,,,,,,,,,,,,,,,,,306
Reshield,Ninjas,Promidnightz,0-2,winedope,2-1,ForThoseWhoHaveHeart,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,307
hutomomo,Other Tempo,ik1cksquirrels,0-2,Condescend,2-1,DNSolver,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,308
faultedform,Oops All Spells,googly,0-2,Kagami_Mashiro_,2-1,Dein_Freund_der_Baum,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,309
LeoFa,4C Control,Rooney56,0-2,kae,2-0,Promidnightz,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,310
DrPP,UR Delver,Matti,2-0,Devt,0-2,Gerschi,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,311
Breckoroni,Oops All Spells,reisyasu,0-2,trasmussen2710,2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312
Wooded_Raptus,Black Midrange,Ravenouspanda21,2-0,spiralprince,0-2,JoergHeinrich,0-2,namo_g,0-2,,,,,,,,,,,,,,,,,,,,,,,,,313
udonudon,Sneak and Show,Butakov,1-2,RUDEN1414,1-2,KBTMTG,2-1,Rimril,1-2,,,,,,,,,,,,,,,,,,,,,,,,,314
taka1208,White Stompy,Manuel_Danninger,0-2,alli,2-0,T2G_Brand,1-2,ganesh_69,1-2,,,,,,,,,,,,,,,,,,,,,,,,,315
SoulStrong,Elves,Gernardi,2-0,BuenosLoko,1-2,homhom86,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,316
Diem4x,UR Delver,hatahato,2-1,TheDullard,1-2,Wiltron92,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,317
Z4YN,White Stompy,kokoko098,2-1,1mrlee,1-2,wakarock,1-2,sumimasen,0-2,,,,,,,,,,,,,,,,,,,,,,,,,318
Radziolot,8Cast,derflotteschotte87,2-1,johnsmith3373,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319
Schiaveto,UR Delver,Dein_Freund_der_Baum,1-2,lordoflifegain,2-1,wildespony,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,320
mattiwnl,UR Delver,TheGrimLavamancer,2-1,Martinho1111,1-2,StormCountIsOne,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,321
TFTljhub,4C Control,necrodice,0-2,Call1Me1Dragon,2-0,el-pollo-lolo,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,322
Kihara_Works,4C Control,Phizzle,1-2,norumi,2-0,toondoslav,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,323
Zetton371,Red Stompy,SIN,0-2,gurig,2-0,Tezzeret01,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,324
BlackDragonLars,Aluren,dull04,1-2,TheBrogan,1-2,Fuz65,1-2,iKhada,2-0,trevoryParis,0-2,-Nicolo-,0-2,,,,,,,,,,,,,,,,,,,,,325
JS2,UR Delver,suyasome,2-1,Fnoop,0-2,Harryhaz1,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,326
TheBrogan,Cephalid Breakfast,duanceyao,0-2,BlackDragonLars,2-1,squppy,0-2,Renanpf,0-2,morpheus38,0-2,,,,,,,,,,,,,,,,,,,,,,,327
lordoflifegain,Infect,T2G_Brand,1-2,Schiaveto,1-2,TheGrimLavamancer,2-0,Qwupuf,1-2,,,,,,,,,,,,,,,,,,,,,,,,,328
strike105303,UR Delver,s063,2-0,Martin_Dominguez,1-2,hogpog_98,0-2,Misterkle,1-2,,,,,,,,,,,,,,,,,,,,,,,,,329
Dreddybajs,8Cast,rofelos,0-2,wildespony,0-2,azureu09,2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,330
WhiTe TsaR,UR Delver,GriefBacon,2-0,WeareVenom,0-2,GotTheWongGuy,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,331
paragon249,Black Midrange,Minest110,0-2,FirstToThirst,0-2,Danielpena397,0-2,filthy_casuals,1-2,winedope,2-1,Krisuu889,0-2,Scranton01,0-2,gouafhg,0-2,,,,,,,,,,,,,,,,,332
CrusherBotBG,Hammer Time,aarong,0-2,Kenzaburo,2-1,OnlyLandsDotCom,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,333
Minest110,8Cast,paragon249,2-0,duanceyao,1-2,j27c58794,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,334
Carroz,White Stompy,JPinter,1-2,TrueHero,1-2,EddDeedoo,2-0,M0nsterYe,0-2,,,,,,,,,,,,,,,,,,,,,,,,,335
Ravenouspanda21,Lands,Wooded_Raptus,0-2,Gerschi,1-2,Kagami_Mashiro_,2-1,PohTayToes,1-2,,,,,,,,,,,,,,,,,,,,,,,,,336
samlboss92,Elves,ferrarix,0-2,azureu09,2-0,Wings_Style_Spartan,1-2,noprops,1-2,,,,,,,,,,,,,,,,,,,,,,,,,337
rofelos,RUG Midrange,Dreddybajs,2-0,JPA93,0-2,Testacular,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,338
Bozo_0388,UR Delver,TheDullard,1-2,Jydehem,0-2,Vitis_vinifera,2-0,MeTheKaptain,0-2,EricaWesley,1-2,,,,,,,,,,,,,,,,,,,,,,,339
gulldos,Elves,comeback,0-2,KBTMTG,2-1,wingzerofnc,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,340
GriefBacon,Elves,WhiTe TsaR,0-2,derflotteschotte87,0-2,Treeroy6670,2-0,aforaffort,0-2,Koike,1-2,,,,,,,,,,,,,,,,,,,,,,,341
Littlewitch,UR Delver,_Gerwaz,2-0,Beenew,1-2,Oxdizzle,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,342
lain5893,Other Stompy,slow_brz,2-0,LasVegasChaos,1-2,ferrarix,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,343
Ovinize,Mono Green Cloudpost,bennybo,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344
_INF_,UR Delver,sfz,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345
Eureka22422,Doomsday,mephidro,0-2,Phill_Hellmuth,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346
jessy_samek,Unknown Deck,utley26,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347
Kuranari-Jackpa,ANT,joker10289,1-2,Wrath_TheKid,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348
discoverN,UR Delver,gatekappa,1-2,Kinarus,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349
subesube0417,UR Delver,trevoryParis,1-2,McWinSauce,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350
Dazai,UR Delver,wizardpasta,1-2,handsomePPZ,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351
MaxMagicer,Reanimator,tom_basketball,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352
SingPanMan,Doomsday,piao,0-2,Qwupuf,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353
RespecttheCat,Bant Control,Yorsh,1-2,abombdiggity,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354
Jettison,Sneak and Show,AlpInco,1-2,Happy12,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355
Hampuse1,Mystic Forge Combo,seblba,1-2,ElfKid,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356
IPlayBadDecks,Dredge,Bangiras,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357
The_Daddy,Dredge,Jmackattack,1-2,HinaHara,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358
CracklingDoom,Doomsday,kiyoaggro,0-2,Wiltron92,0-2,swayjisse,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,359
BattleMom,Unknown Deck,416FrowningTable,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360
OopsMissedTrigger,Sneak and Show,ziggy_stardust,1-2,MahfuzVanGogh,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361
Squiddward,Ninjas,bernardocssa,0-2,Cherryxman,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362
Beest,White Stompy,larkblue,0-2,kaeru24,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363
AFX,Elves,Naoto,0-2,MeTheKaptain,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364
Julian23,Painter,codyoung,1-2,yusuke0923,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365
mtgvins,TES,Slasher21,1-2,DragonDayDragon,0-2,EricaWesley,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,366
lactone56513,GW Depths,Tjbrown329,1-2,hide1984,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367
EddDeedoo,Red Stompy,CookieKid00,1-2,B-Carp,1-2,Carroz,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,368
CliffBoyardee,UR Delver,yoshiwata,1-2,otakkun,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369
BurntbySyn,Infect,Kosame,1-2,tao_bye_bye,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370
Kenzaburo,Bant Control,almostomniscient,1-2,CrusherBotBG,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371
Jack9Em,8Cast,Supercazzola,1-2,tom533,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372
Call1Me1Dragon,Death's Shadow,CoolUser,0-2,TFTljhub,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373
DRN123,Burn/Red Prowess,Renanpf,0-2,NimblestMongoose,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374
slod,Stoneblade,hktknbr,1-2,j27c58794,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375
Vitis_vinifera,Merfolk,XxShuicunexX,0-2,manadra1n,0-2,Bozo_0388,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,376
Ramp,White Stompy,lcshana,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377
Wesal,Oops All Spells,jamiewvh,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378
sneakymisato,White Stompy,ajdadd420,0-2,excel0679,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379
Jango898,Unknown Deck,nevilshute,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380
RascalYote,GW Depths,Foheo,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381
hamati,Madness,Tezzeret01,0-2,2radMTG,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382
into_play,Mono Green Cloudpost,AlphaBlade,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383
THEsneakyhomunculous,UR Delver,Luffytaro,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384
lampalot,White Stompy,-Nicolo-,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385
lucajak,Reanimator,ARAPAKO,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386
Iwouldliketorespond,Esper Control,MTGHolic,1-2,LoggySD,0-2,Serjero,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,387
azureu09,UR Delver,Ozymandias17,0-2,samlboss92,0-2,Dreddybajs,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,388
Liberolabie18,8Cast,yekcat,0-2,ColletClow,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389
RyNG-SToRm,Grixis Control,jaarseth,1-2,ktmr-39,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390
kanican,White Stompy,Alex_Brown,1-2,hatahato,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391
Depian,UR Delver,MM_17,1-2,HealthyFrog,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392
NovaNiller,Red Stompy,unluckymonkey,0-2,StormQrow,0-2,Xen0neb,0-2,Raikonette,0-2,Scranton01,1-2,,,,,,,,,,,,,,,,,,,,,,,393
gurig,Reanimator,Cyberpunker,1-2,Zetton371,0-2,almightyshank,0-2,Krisuu889,1-2,,,,,,,,,,,,,,,,,,,,,,,,,394
tkcheungab,Oops All Spells,Galrion89,1-2,JeanCarloBeloch,1-2,darokaba,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,395
thatmaverickjoe,Unknown Deck,Smradd,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396
Talisker,Yorion Zenith,Firetruck,1-2,Koike,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397
kokoko098,Oops All Spells,Z4YN,1-2,GotTheWongGuy,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398
trasmussen2710,Elves,zhinonono,1-2,Breckoroni,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399
iKhada,Death's Shadow,yPrincipe,1-2,Aerien_sol,1-2,maver1k,1-2,BlackDragonLars,0-2,,,,,,,,,,,,,,,,,,,,,,,,,400
twin_mtg,White Stompy,Swiftclaw_,1-2,LuisMJ,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401
Rank1Lynx,4C Control,bellboysquints,0-2,Harryhaz1,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402
Bamerang,Red Stompy,Fnoop,0-2,PohTayToes,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403
the-bad-kami,UR Delver,UNAUNA,0-2,ls149950,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404
kae,UR Delver,Bullwinkkle6705,0-2,LeoFa,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405
aadrew,Other Spell Combo,WeareVenom,0-2,Oxdizzle,0-2,SacmenFeg,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,406
Mogged,UR Delver,Beenew,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407
sandydogmtg,White Stompy,exS1N,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408
scipios,Sneak and Show,hundinggjornersen,0-2,FireMedic06,0-2,AkahitoXion,0-2,Jiobimbo,0-2,,,,,,,,,,,,,,,,,,,,,,,,,409
Kagami_Mashiro_,Oops All Spells,yuyan,1-2,faultedform,1-2,Ravenouspanda21,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,410
norumi,Ninjas,yashimoro,0-2,Kihara_Works,0-2,MAT_1205,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,411
Condescend,UR Delver,El Lobo,1-2,hutomomo,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412
_Gerwaz,Reanimator,Littlewitch,0-2,M0nsterYe,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413
slow_brz,UR Delver,lain5893,0-2,Yamaro,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414
Maraxus_of_NL,White Stompy,D00mwake,0-2,Zitical,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415
winedope,Other Spell Combo,LasVegasChaos,0-2,Reshield,1-2,Whispering,0-2,Treeroy6670,1-2,paragon249,1-2,,,,,,,,,,,,,,,,,,,,,,,416
Modern_Monkey,UR Delver,hunden,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417
KBTMTG,Aluren,KingofPwners,0-2,gulldos,1-2,udonudon,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,418
